City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Mahina,PF,73.4,scattered clouds,-17.51,-149.49,Guest Beach Bungalow Tahiti
431,Hobyo,SO,76.96,overcast clouds,5.35,48.53,Osmani Hotel
434,Labuhan,ID,76.71,overcast clouds,-6.88,112.21,bador sepret
438,Iberia,US,89.6,clear sky,29.95,-91.75,back to back rv park
440,Cayenne,GF,89.6,light rain,4.93,-52.33,Hôtel Le Dronmi
444,Muskegon,US,77.0,few clouds,43.3,-86.13,Timberline Estates
446,Suez,EG,84.04,clear sky,29.97,32.53,Green House
447,Camacha,PT,77.0,few clouds,33.08,-16.33,Hotel Porto Santo & Spa
448,Male,MV,84.2,overcast clouds,4.17,73.51,Hotel Octave Maldives
451,Farmington,US,84.0,clear sky,36.73,-108.22,Courtyard by Marriott Farmington
455,Tabou,CI,75.94,scattered clouds,4.42,-7.35,hotêl doufoulougou
456,Akyab,MM,80.4,heavy intensity rain,20.15,92.9,Hotel Memory
457,Svetlyy,RU,71.6,few clouds,54.67,20.13,"Hostel ""Baltiysky Les"""
459,Belluno,IT,84.0,few clouds,46.15,12.22,Hotel Europa Executive
463,Japura,ID,77.11,light rain,-0.32,102.35,Rumah mbah Jamah
470,Bella Vista,US,84.0,clear sky,36.43,-94.23,The Inn at Bella Vista
471,Vila Velha,BR,75.99,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
472,Bathsheba,BB,86.0,scattered clouds,13.22,-59.52,Atlantis Hotel
475,Bandundu,CD,87.8,overcast clouds,-3.32,17.37,Coja Color
477,Woodstock,CA,75.99,broken clouds,43.13,-80.75,Holiday Inn Express & Suites Woodstock South
482,Shingu,JP,74.95,few clouds,33.73,135.98,Shingu UI Hotel
487,Labuan,MY,80.6,few clouds,5.28,115.24,Tiara Labuan Hotel
491,Tarboro,US,87.8,overcast clouds,35.9,-77.54,SureStay Plus Hotel Tarboro by Best Western
498,Umm Lajj,SA,85.98,clear sky,25.02,37.27,Moon light Furnished Units
501,Waw,SS,72.28,scattered clouds,7.7,28.0,Universal Gab Hotel
502,Vila Do Maio,CV,84.2,broken clouds,15.13,-23.22,Residence 'I Delfini'
504,Puerto Colombia,CO,87.8,broken clouds,10.99,-74.95,Hotel El Emigrante
507,Changli,CN,72.91,broken clouds,39.7,119.15,7Days Inn Qinhuangdao Changli Jieyang Street
508,Dryden,CA,77.0,broken clouds,49.78,-92.75,Holiday Inn Express Dryden
509,Kalmunai,LK,83.1,overcast clouds,7.42,81.82,VS Villa
513,Cabinda,AO,74.7,scattered clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
515,Halifax,CA,81.0,few clouds,44.65,-63.57,Hotel Halifax
517,Ravar,IR,83.77,clear sky,31.27,56.81,computertik
520,Sao Jose Da Coroa Grande,BR,77.04,light rain,-8.9,-35.15,Crôa Mares Hotel
521,Neiafu,TO,73.4,broken clouds,-18.65,-173.98,Mystic Sands
526,Tual,ID,77.99,light rain,-5.67,132.75,Grand Vilia Hotel
528,Ahuimanu,US,78.8,light rain,21.44,-157.84,Paradise Bay Resort
529,Ystad,SE,75.2,clear sky,55.43,13.82,Continental du Sud
531,Craig,US,82.4,clear sky,40.52,-107.55,Candlewood Suites Craig-Northwest
533,Ukiah,US,71.6,clear sky,39.15,-123.21,Hampton Inn Ukiah
534,Tarakan,ID,80.82,overcast clouds,3.3,117.63,Hotel D' CaLia Tarakan
538,Gushikawa,JP,82.4,clear sky,26.35,127.87,Kirari Guest House
539,Urumqi,CN,82.4,scattered clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
540,Sibiti,CG,71.38,overcast clouds,-3.68,13.35,Hotel Mapila 1
541,Mangrol,IN,80.92,light rain,21.12,70.12,Hotel The Royal Honours
542,Miraflores,MX,71.6,scattered clouds,19.22,-98.81,Hotel Mansión
543,Acapulco,MX,86.0,broken clouds,16.86,-99.89,HS Hotsson Smart Acapulco
545,Buchanan,LR,80.6,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
547,Idah,NG,73.49,overcast clouds,7.11,6.73,Ubiga Hotel Idah
548,Sao Francisco,BR,83.25,clear sky,-15.95,-44.86,Pousada Peixe Vivo
549,Mayumba,GA,74.26,overcast clouds,-3.43,10.66,LIKWALE LODGE
550,Cheb,CZ,78.01,clear sky,50.08,12.37,Hotel Barbarossa
551,Erzin,TR,82.99,clear sky,36.96,36.2,Artemis Otel
554,Atmakur,IN,76.73,broken clouds,15.88,78.58,వెంకటేష్ కార్ ట్రావెల్స్
555,Sarakhs,IR,82.4,few clouds,36.54,61.16,Sarakhs Abrisham Hotel
556,Pital,CO,74.8,overcast clouds,2.27,-75.8,Finca el Rebaño Vida el Uvital
561,Harper,LR,76.23,scattered clouds,4.38,-7.72,Screensaver
562,Kyaukse,MM,80.33,light rain,21.6,96.13,La Min Tun Guest House
564,Gizo,SB,81.9,light rain,-8.1,156.84,Imagination Island
565,Toktogul,KG,74.3,clear sky,41.87,72.94,KAGAN
566,Sulzbach-Rosenberg,DE,82.4,clear sky,49.5,11.75,Brauereigasthof Flair-Hotel Sperber-Bräu
567,Ponta Delgada,PT,73.4,few clouds,37.73,-25.67,Vila Nova Hotel
568,Socorro,US,88.0,broken clouds,31.65,-106.3,guarderia imss papalote
572,Vinukonda,IN,82.74,overcast clouds,16.05,79.75,VLS Residency
573,Abu Zabad,SD,79.47,overcast clouds,12.35,29.25,محي الدين نوري
574,Gillette,US,78.8,clear sky,44.29,-105.5,National 9 Inn - Gillette WY
575,Muros,ES,75.0,few clouds,42.78,-9.06,Apartment Av. Castelao
577,Nha Trang,VN,82.4,scattered clouds,12.25,109.18,Hanoi Golden Hotel
582,Kropotkin,RU,78.17,broken clouds,45.44,40.58,Hotel Europe Kropotkin
585,Schoneiche,DE,84.99,clear sky,52.47,13.68,Hotel Hoppegarten Berlin
586,Nanchong,CN,84.02,overcast clouds,30.8,106.08,Marine Una Century Hotel
588,Samut Prakan,TH,82.99,scattered clouds,13.6,100.6,The Color Living Hotel
589,Zasechnoye,RU,81.0,broken clouds,53.11,45.08,Volkov
591,Ourem,PT,81.0,few clouds,39.64,-8.59,Pousada Ourém
592,Yenagoa,NG,75.56,overcast clouds,4.92,6.26,Amba Hotels Limited
594,Tecoanapa,MX,89.6,scattered clouds,16.52,-98.75,Hotel Manglares
596,Salalah,OM,80.6,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
597,Salinopolis,BR,83.01,few clouds,-0.61,-47.36,Hotel Salinópolis
599,Bac Lieu,VN,77.72,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
600,Katobu,ID,71.28,broken clouds,-4.94,122.53,La Ode Husein
602,Hohhot,CN,71.6,scattered clouds,40.81,111.65,Sheraton Hohhot Hotel
603,Constantine,DZ,82.4,clear sky,36.37,6.61,Grand Hotel Cirta
606,Sarangani,PH,82.44,moderate rain,5.4,125.46,Ballistic Islet
607,Teguise,ES,78.8,few clouds,29.06,-13.56,B&B La Casona de Nazaret
608,Khani,GE,73.4,scattered clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
610,Bandar-E Anzali,IR,73.4,broken clouds,37.47,49.46,Behesht Talab Hotel
611,Nouadhibou,MR,75.2,clear sky,20.93,-17.03,El Medina
612,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
