City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,Cherskiy,RU,2020-08-05 17:46:21,68.75,161.3,41.59,92,100,6.24
167,Kavieng,PG,2020-08-05 17:46:22,-2.57,150.8,80.96,83,100,16.04
168,Lompoc,US,2020-08-05 17:46:32,34.64,-120.46,66.0,93,60,11.41
169,Maragogipe,BR,2020-08-05 17:46:44,-12.78,-38.92,78.8,69,40,12.75
170,Mayo,US,2020-08-05 17:46:57,38.89,-76.51,87.01,65,1,8.05
171,Nikolskoye,RU,2020-08-05 17:48:23,59.7,30.79,64.0,63,22,4.47
172,Rocha,UY,2020-08-05 17:43:27,-34.48,-54.33,75.04,62,1,12.86
173,Kitimat,CA,2020-08-05 17:48:23,54.05,-128.65,57.99,95,100,0.83
174,Guane,CU,2020-08-05 17:48:23,22.2,-84.09,88.27,65,92,5.97
175,Pocone,BR,2020-08-05 17:48:23,-16.26,-56.62,99.73,14,0,3.85
176,Abu Samrah,SY,2020-08-05 17:46:20,35.3,37.18,76.91,64,0,17.52
177,Carnarvon,AU,2020-08-05 17:46:20,-24.87,113.63,57.2,71,0,9.17
178,Port Elizabeth,ZA,2020-08-05 17:46:53,-33.92,25.57,53.6,93,88,4.7
179,Vicuna,CL,2020-08-05 17:48:24,-30.03,-70.71,60.8,72,100,12.75
180,Shelburne,CA,2020-08-05 17:48:24,44.08,-80.2,71.6,46,40,12.75
181,Bambanglipuro,ID,2020-08-05 17:47:21,-7.95,110.28,73.27,90,38,5.75
182,Ust-Tarka,RU,2020-08-05 17:48:24,55.57,75.7,64.65,69,0,4.92
183,Carson City,US,2020-08-05 17:44:46,39.16,-119.77,80.6,16,1,2.42
184,Te Anau,NZ,2020-08-05 17:48:24,-45.42,167.72,43.83,88,100,1.43
185,Tanout,NE,2020-08-05 17:48:24,14.97,8.89,91.27,42,45,15.77
186,Ambilobe,MG,2020-08-05 17:46:47,-13.2,49.05,70.57,76,47,3.6
187,Tiarei,PF,2020-08-05 17:48:24,-17.53,-149.33,73.4,78,20,15.28
188,Tiksi,RU,2020-08-05 17:46:22,71.69,128.87,61.32,57,100,10.6
189,Chokurdakh,RU,2020-08-05 17:46:31,70.63,147.92,49.17,67,0,7.29
190,Tomatlan,MX,2020-08-05 17:48:25,19.93,-105.25,95.59,47,14,4.76
191,Sao Filipe,CV,2020-08-05 17:46:43,14.9,-24.5,77.88,78,11,5.01
192,Nynashamn,SE,2020-08-05 17:48:25,58.9,17.95,68.0,43,81,15.84
193,Sawtell,AU,2020-08-05 17:48:25,-30.38,153.1,46.0,93,0,5.97
194,Berlevag,NO,2020-08-05 17:46:49,70.86,29.09,50.0,87,75,5.82
195,Eyl,SO,2020-08-05 17:46:36,7.98,49.82,81.75,62,80,23.89
196,Dunedin,NZ,2020-08-05 17:43:30,-45.87,170.5,45.0,91,97,1.99
197,Mayskiy,RU,2020-08-05 17:47:03,47.69,40.1,80.6,42,0,8.95
198,Nowogard,PL,2020-08-05 17:48:25,53.67,15.12,79.0,33,0,8.05
199,Honningsvag,NO,2020-08-05 17:46:28,70.98,25.97,50.0,93,75,5.82
200,Sao Jose Da Coroa Grande,BR,2020-08-05 17:46:37,-8.9,-35.15,77.54,67,61,15.3
201,Asau,RO,2020-08-05 17:46:28,46.43,26.4,69.01,75,1,4.25
202,Avera,US,2020-08-05 17:46:35,33.19,-82.53,90.0,62,40,4.7
203,Soledade,BR,2020-08-05 17:48:26,-28.82,-52.51,71.6,53,0,16.11
204,Jacmel,HT,2020-08-05 17:48:26,18.23,-72.53,93.2,49,20,16.11
205,Sokoni,TZ,2020-08-05 17:48:26,-6.43,39.55,76.39,81,8,15.52
206,Beira,MZ,2020-08-05 17:48:26,-19.84,34.84,68.0,88,43,8.05
207,Okha,RU,2020-08-05 17:48:26,53.57,142.95,52.23,92,99,8.25
208,Contai,IN,2020-08-05 17:44:17,21.78,87.75,82.38,83,83,17.98
209,Port Hedland,AU,2020-08-05 17:48:26,-20.32,118.57,55.4,82,68,6.93
210,Quatre Cocos,MU,2020-08-05 17:48:26,-20.21,57.76,68.0,72,40,11.41
211,Cabinda,AO,2020-08-05 17:48:27,-5.55,12.2,73.58,80,39,5.3
212,Lacolle,CA,2020-08-05 17:48:27,45.08,-73.37,79.0,69,17,10.0
213,San Patricio,MX,2020-08-05 17:47:13,19.22,-104.7,91.4,70,20,6.93
214,Saskylakh,RU,2020-08-05 17:46:43,71.92,114.08,62.2,85,89,6.73
215,Aligudarz,IR,2020-08-05 17:48:27,33.4,49.69,63.05,29,0,5.44
216,Sao Miguel Do Araguaia,BR,2020-08-05 17:48:27,-13.28,-50.16,90.64,21,0,8.19
217,Caala,AO,2020-08-05 17:48:27,-12.85,15.56,61.75,27,9,0.4
218,Muzhi,RU,2020-08-05 17:46:56,65.37,64.67,59.58,70,29,4.99
219,Susuman,RU,2020-08-05 17:48:27,62.78,148.17,45.19,72,2,2.26
220,Northam,GB,2020-08-05 17:48:28,51.03,-4.22,66.99,95,95,8.01
221,Paraiso,CR,2020-08-05 17:48:28,9.84,-83.87,78.8,65,75,11.41
222,Kupang,ID,2020-08-05 17:48:28,-10.17,123.58,71.91,82,34,5.7
223,Belaya Gora,RU,2020-08-05 17:48:28,68.53,146.42,53.2,54,16,7.0
224,Nanortalik,GL,2020-08-05 17:48:28,60.14,-45.24,46.38,77,64,6.02
225,Salalah,OM,2020-08-05 17:46:32,17.02,54.09,82.4,78,75,12.75
226,Severnoye,RU,2020-08-05 17:48:28,56.35,78.36,62.51,71,0,4.56
227,Erdenet,MN,2020-08-05 17:48:28,49.03,104.08,58.89,93,100,3.56
228,Pa Sang,TH,2020-08-05 17:48:28,18.53,98.94,78.8,88,75,4.7
229,Zigong,CN,2020-08-05 17:48:29,29.34,104.78,81.9,80,100,3.51
230,Ginda,IN,2020-08-05 17:48:29,30.69,78.49,68.85,76,99,3.69
231,Ilheus,BR,2020-08-05 17:48:29,-14.79,-39.05,71.6,94,75,13.87
232,Los Llanos De Aridane,ES,2020-08-05 17:46:30,28.66,-17.92,77.0,73,40,10.29
233,Vardo,NO,2020-08-05 17:47:01,70.37,31.11,50.0,93,75,20.8
234,Dhidhdhoo,MV,2020-08-05 17:48:29,6.88,73.1,82.9,81,94,22.48
235,Torbay,CA,2020-08-05 17:44:56,47.67,-52.73,72.0,56,20,3.36
236,Bathsheba,BB,2020-08-05 17:48:29,13.22,-59.52,87.8,62,40,16.11
