City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
166,Phuket,8.0,98.25,86.0,88,75,3.36,TH,light rain
167,Hovd,48.01,91.64,60.44,59,18,3.06,MN,few clouds
168,Belyy Yar,53.6,91.39,60.8,82,68,6.71,RU,broken clouds
169,Mabaruma,8.2,-59.78,90.73,52,23,5.61,GY,few clouds
170,Natchitoches,31.77,-93.13,87.8,48,1,3.74,US,clear sky
171,Tautira,-17.73,-149.15,73.4,88,40,4.7,PF,scattered clouds
172,Toguchin,55.24,84.39,60.58,85,82,4.43,RU,light rain
173,Solnechnyy,50.72,136.63,47.5,93,100,6.8,RU,light rain
174,Montepulciano,43.1,11.79,80.01,56,9,4.0,IT,clear sky
175,Bethel,41.37,-73.41,78.01,60,40,6.93,US,scattered clouds
176,Tigre,-34.43,-58.58,62.01,41,99,9.17,AR,overcast clouds
177,Kahului,20.89,-156.47,78.8,78,40,10.29,US,scattered clouds
178,Makungu,-8.73,35.28,62.13,67,36,5.12,TZ,scattered clouds
179,Guiyang,26.58,106.72,73.4,83,75,11.18,CN,broken clouds
180,Gorin,51.2,136.67,48.7,94,100,5.84,RU,light rain
181,Padang,-0.95,100.35,78.31,79,94,3.62,ID,overcast clouds
182,Alugan,12.22,125.48,78.87,85,100,5.23,PH,overcast clouds
183,Quatre Cocos,-20.21,57.76,68.0,64,75,12.75,MU,shower rain
184,Evensk,61.95,159.23,50.16,76,73,5.03,RU,broken clouds
185,Hofn,64.25,-15.21,53.6,93,90,11.41,IS,mist
186,Klaksvik,62.23,-6.59,53.6,100,98,12.75,FO,overcast clouds
187,Alekseyevskaya,50.29,42.18,82.99,55,3,1.01,RU,clear sky
188,Bereda,43.27,-7.54,91.0,41,54,8.99,ES,broken clouds
189,Aleksandrovsk-Sakhalinskiy,50.9,142.16,51.69,84,100,5.41,RU,overcast clouds
190,Castro,-24.79,-50.01,72.9,35,0,3.33,BR,clear sky
191,Kotelnikovo,47.63,43.15,83.82,38,47,11.99,RU,scattered clouds
192,Hithadhoo,-0.6,73.08,83.34,76,84,13.4,MV,broken clouds
193,Puerto El Triunfo,13.28,-88.55,86.0,74,40,4.7,SV,scattered clouds
194,Astoria,46.19,-123.83,63.0,77,40,8.05,US,scattered clouds
195,Geraldton,-28.77,114.6,53.6,71,29,13.87,AU,scattered clouds
196,The Valley,18.22,-63.06,87.8,66,40,13.87,AI,scattered clouds
197,Port Lincoln,-34.73,135.87,50.99,67,100,14.43,AU,overcast clouds
198,Peleduy,59.63,112.74,59.7,82,78,4.45,RU,broken clouds
199,Shache,38.42,77.24,76.35,21,0,2.17,CN,clear sky
200,Kommunisticheskiy,61.68,64.48,61.7,61,91,5.01,RU,overcast clouds
201,Itoman,26.12,127.67,84.2,83,20,9.17,JP,few clouds
202,Pevek,69.7,170.31,37.98,98,100,13.87,RU,light rain
203,Walvis Bay,-22.96,14.51,60.8,51,0,8.05,NA,clear sky
204,Broken Hill,-31.95,141.43,41.0,93,90,18.34,AU,overcast clouds
205,Hasaki,35.73,140.83,77.0,94,40,8.05,JP,scattered clouds
206,Coihaique,-45.58,-72.07,46.4,83,90,6.93,CL,overcast clouds
207,Sanlucar De Barrameda,36.78,-6.35,95.0,31,0,17.22,ES,clear sky
208,Kavieng,-2.57,150.8,81.99,80,32,11.81,PG,light rain
209,Mehamn,71.04,27.85,53.6,81,23,4.7,NO,few clouds
210,Mendoza,-32.89,-68.83,53.6,22,37,10.29,AR,scattered clouds
211,Pizhanka,57.46,48.54,68.38,85,100,3.89,RU,light rain
212,Pietersburg,-23.9,29.47,66.2,41,0,2.64,ZA,clear sky
213,Palmerston,-12.49,130.98,70.0,88,96,3.36,AU,overcast clouds
214,Araouane,18.9,-3.53,100.81,24,31,8.97,ML,scattered clouds
215,Leshukonskoye,64.9,45.76,59.4,74,100,4.94,RU,overcast clouds
216,Salinas,36.68,-121.66,64.4,72,90,8.05,US,overcast clouds
217,Emerald,-23.53,148.17,68.0,82,90,11.41,AU,overcast clouds
218,Santo Antonio Do Leverger,-15.87,-56.08,91.4,16,0,4.7,BR,clear sky
219,Bethanien,-26.5,17.16,46.24,45,19,11.68,NA,few clouds
220,Komsomolets,53.75,62.07,68.68,63,0,8.79,KZ,clear sky
221,Rawson,-43.3,-65.1,53.69,40,0,20.89,AR,clear sky
222,East London,-33.02,27.91,58.05,64,10,20.38,ZA,clear sky
223,Chkalovskoye,44.84,133.04,60.4,98,100,9.57,RU,light rain
224,Gediz,39.04,29.41,77.7,38,0,6.24,TR,clear sky
225,Bara,10.37,10.73,70.07,93,100,11.16,NG,moderate rain
226,Ponta Do Sol,32.67,-17.1,73.4,73,75,5.82,PT,broken clouds
227,Pouembout,-21.13,164.9,62.64,85,1,4.27,NC,clear sky
228,Thompson,55.74,-97.86,82.4,39,5,8.05,CA,clear sky
229,Nanortalik,60.14,-45.24,46.35,79,92,3.98,GL,overcast clouds
230,Sao Filipe,14.9,-24.5,79.45,82,60,5.93,CV,broken clouds
231,Rosarito,32.33,-117.03,73.0,64,5,11.1,MX,clear sky
232,Flinders,-34.58,150.86,48.99,79,99,1.99,AU,overcast clouds
233,Pangnirtung,66.15,-65.71,48.2,93,75,18.34,CA,broken clouds
234,Do Gonbadan,30.36,50.8,96.8,19,0,6.24,IR,clear sky
235,Lahad Datu,5.03,118.33,77.76,90,100,2.06,MY,light rain
236,Harer,9.31,42.13,61.79,89,99,1.12,ET,moderate rain
237,Adolfo Ruiz Cortines,25.75,-108.75,96.01,55,40,7.34,MX,scattered clouds
238,Pisco,-13.7,-76.22,64.4,72,40,9.17,PE,scattered clouds
239,Berlevag,70.86,29.09,53.6,87,20,4.7,NO,few clouds
240,Arlit,18.74,7.39,109.06,9,45,9.51,NE,scattered clouds
241,College,64.86,-147.8,64.0,63,20,6.93,US,few clouds
242,Plaridel,14.89,120.86,79.0,88,95,8.05,PH,light rain
243,Praya,14.92,-23.51,84.2,74,75,12.75,CV,broken clouds
244,Kulhudhuffushi,6.62,73.07,82.76,81,100,19.71,MV,light rain
245,Ayna,-12.65,-73.92,68.0,22,39,2.24,PE,scattered clouds
246,Havoysund,71.0,24.66,62.6,76,33,2.24,NO,scattered clouds
